value,percentage,datetime
8504.661,0.01181767898561493,2014-05-14T00:00:00.000+02:00
8049.373,0.011453666543344468,2014-05-15T00:00:00.000+02:00
7881.612,0.011211848996738561,2014-05-16T00:00:00.000+02:00
7430.247,0.011767090485808485,2014-05-17T00:00:00.000+02:00
6682.123,0.011561542419509727,2014-05-18T00:00:00.000+02:00
8122.237,0.011729847333285182,2014-05-19T00:00:00.000+02:00
8783.599,0.012312794901939369,2014-05-20T00:00:00.000+02:00
10122.673,0.01407464472220327,2014-05-21T00:00:00.000+02:00
10436.78,0.014621528126252385,2014-05-22T00:00:00.000+02:00
9450.86,0.013321142331868444,2014-05-23T00:00:00.000+02:00
7878.858,0.012385761417897092,2014-05-24T00:00:00.000+02:00
7335.192,0.012713562610681904,2014-05-25T00:00:00.000+02:00
8666.271,0.012533023179681444,2014-05-26T00:00:00.000+02:00
8770.097,0.012344669668598129,2014-05-27T00:00:00.000+02:00
9676.088,0.013458275192761786,2014-05-28T00:00:00.000+02:00
8890.76,0.012459897135846531,2014-05-29T00:00:00.000+02:00
8530.858,0.012122417222093684,2014-05-30T00:00:00.000+02:00
8216.209,0.012904871503552611,2014-05-31T00:00:00.000+02:00
7179.816,0.012429574442289745,2014-06-01T00:00:00.000+02:00
8588.051,0.01246965681017732,2014-06-02T00:00:00.000+02:00
8603.054,0.012050468755249635,2014-06-03T00:00:00.000+02:00
8766.902,0.012182894282595936,2014-06-04T00:00:00.000+02:00
9262.651,0.012799182950513214,2014-06-05T00:00:00.000+02:00
9895.689,0.013565133697840133,2014-06-06T00:00:00.000+02:00
9346.476,0.014152727946565778,2014-06-07T00:00:00.000+02:00
7531.846,0.012521086417767049,2014-06-08T00:00:00.000+02:00
9762.343,0.013837128082932484,2014-06-09T00:00:00.000+02:00
9863.345,0.01331913909992201,2014-06-10T00:00:00.000+02:00
9704.699,0.012880394346226854,2014-06-11T00:00:00.000+02:00
9471.253,0.012373530393304884,2014-06-12T00:00:00.000+02:00
10417.589,0.013456700154543083,2014-06-13T00:00:00.000+02:00
11157.732,0.015890225871585013,2014-06-14T00:00:00.000+02:00
