valueAndalucia,valueAragon,valueCantabria,valueCastilla_la_Mancha,valueCastilla_y_Leon,valueCataluña,valuePais_Vasco,valuePrincipado_de_Asturias,valueComunidad_de_Ceuta,valueComunidad_de_Melilla,valueComunidad_de_Madrid,valueComunidad_de_Navarra,valueComunidad_Valenciana,valueExtremadura,valueGalicia,valueIslas_Baleares,valueIslas_Canarias,valueLa_Rioja,valueRegion_de_Murcia,datetime
3370542.116,875098.044,357851.556,973043.007,1117640.304,3980120.622,1318772.887,844099.427,18207.382,18705.204,2300602.209,419203.471,2314035.83,431551.91,1584187.611,569439.125,748252.198,142068.617,779435.708,2016-09-01T00:00:00.000+02:00
3070716.497,844021.165,354717.595,875354.543,1103810.422,3779737.944,1343493.618,843168.052,17864.866,17599.436,2187078.493,417807.901,2123283.92,377232.029,1623247.174,477813.605,761196.744,144157.325,729812.771,2016-10-01T00:00:00.000+02:00
3123624.236,879636.198,352822.021,950983.979,1183219.188,3855164.232,1435873.518,850111.434,17454.722,16456.186,2419424.922,430952.532,2162904.598,398749.141,1705647.393,384773.382,721442.793,147691.866,732041.039,2016-11-01T00:00:00.000+01:00
3395895.532,876550.48,344943.914,987773.492,1213425.264,3959624.468,1345708.938,914567.061,18263.844,17168.95,2564376.142,404065.58,2228872.717,422196.775,1761950.558,418652.837,743769.348,147239.278,733326.986,2016-12-01T00:00:00.000+01:00
3630139.835,935721.866,381804.591,1061646.481,1282078.402,4327712.209,1539208.76,954740.085,18540.055,18568.292,2783035.02,452567.634,2462847.842,458153.293,1865725.421,477380.4,745407.228,157474.283,785471.791,2017-01-01T00:00:00.000+01:00
3055225.208,834494.584,342001.449,916105.836,1136465.602,3733074.315,1358830.536,850071.015,15723.914,15602.088,2387351.039,412913.092,2093499.416,385350.044,1624277.322,395605.401,665204.176,138483.354,691174.771,2017-02-01T00:00:00.000+01:00
3200360.441,899478.92,384478.476,951526.486,1213111.753,3974169.555,1513671.366,920243.849,16352.628,16479.364,2412638.71,440780.588,2167073.675,395079.066,1724170.692,408891.796,736714.903,146902.248,743049.076,2017-03-01T00:00:00.000+01:00
2926812.041,828524.917,364464.997,911174.862,1084445.988,3563871.542,1292823.357,844465.515,14939.695,15082.279,2057255.208,388606.371,1941065.855,366472.619,1560185.097,415202.957,705628.124,127216.111,705696.823,2017-04-01T00:00:00.000+02:00
3064661.115,893311.804,369259.876,962101.266,1134853.512,3864757.582,1413920.849,874123.613,16501.739,16451.756,2204818.892,435172.584,2109200.799,378276.158,1620405.39,482229.859,728992.358,139519.108,740527.18,2017-05-01T00:00:00.000+02:00
3513624.19,917711.259,353221.677,1018755.22,1185343.367,4143523.252,1385217.149,844501.033,17170.856,18010.185,2535147.644,435650.273,2350195.207,439779.735,1590862.407,578281.935,730157.083,142736.778,824032.373,2017-06-01T00:00:00.000+02:00
3762105.389,904284.365,355299.079,1058314.034,1201742.434,4355104.787,1298441.168,876020.346,17581.98,19684.925,2509808.13,397030.335,2605330.481,440624.29,1595519.357,677703.855,769839.964,146987.025,906583.572,2017-07-01T00:00:00.000+02:00
3897918.111,901716.281,363861.018,1084685.97,1152799.284,4068571.812,1120281.101,858048.948,18673.439,20785.92,2367768.094,400159.741,2404961.984,513654.345,1612907.275,706661.752,807063.419,137457.166,884293.372,2017-08-01T00:00:00.000+02:00
3269767.622,857750.555,357437.519,928824.513,1099285.06,3827532.061,1334946.089,841465.266,17176.932,17833.301,2149871.748,413819.091,2180200.835,412903.97,1571677.467,536767.926,758985.31,136743.779,763067.84,2017-09-01T00:00:00.000+02:00
3139871.264,863165.529,375035.208,872927.071,1129375.782,3839760.626,1408222.64,880129.227,15964.592,17474.578,2175648.597,427926.722,2107776.637,404810.699,1642836.986,475043.438,789861.464,140675.778,752408.533,2017-10-01T00:00:00.000+02:00
3137597.193,905024.24,382867.662,919620.776,1193931.662,3995888.516,1466657.496,902610.457,16373.048,16408.677,2372347.3,436855.745,2175705.603,392699.801,1710213.278,403689.187,743761.323,146133.366,755346.188,2017-11-01T00:00:00.000+01:00
3567152.647,919255.426,343839.646,1027177.246,1254119.834,4111321.698,1391337.419,952302.332,17861.952,18043.713,2637876.82,411753.356,2356362.909,435476.692,1775637.781,458957.51,749447.673,144106.667,824369.329,2017-12-01T00:00:00.000+01:00
3647455.25,917058.803,360243.957,1042435.374,1286001.566,4140577.062,1484220.721,950230.877,18544.061,18185.973,2705345.48,450314.012,2345787.144,454690.904,1844479.544,436553.899,755287.211,153187.46,813698.083,2018-01-01T00:00:00.000+01:00
3314118.179,872838.887,345533.56,953026.688,1197806.47,3993748.88,1469467.247,883557.655,17099.066,17029.638,2521068.525,429018.578,2285239.07,406832.623,1717220.668,457599.769,682423.585,143908.785,741390.348,2018-02-01T00:00:00.000+01:00
3420195.699,934701.899,382202.224,1007616.011,1285164.165,4047167.946,1488835.994,953924.561,17584.974,16701.992,2579762.942,447419.669,2298767.153,427714.37,1873335.316,461730.116,729896.73,148671.143,780145.32,2018-03-01T00:00:00.000+01:00
3046257.009,851930.042,357831.059,958888.045,1138119.703,3674311.187,1356782.634,878451.279,16315.666,15854.64,2259062.294,403494.658,2038011.523,395382.107,1695932.397,426816.549,703225.699,134488.055,736925.217,2018-04-01T00:00:00.000+02:00
3034386.929,884001.23,360579.583,967026.876,1143598.723,3776443.783,1431884.348,870108.927,16342.903,16501.42,2139400.291,429690.373,2131183.033,371670.807,1645678.956,475877.506,715948.392,136589.071,761407.194,2018-05-01T00:00:00.000+02:00
3159186.964,860583.977,340707.984,967550.75,1111234.426,3865305.038,1391730.912,836118.856,15983.727,17017.004,2248616.61,420678.757,2226984.915,386425.132,1596787.869,536318.095,707399.829,135197.24,789298.322,2018-06-01T00:00:00.000+02:00
3478781.369,911048.582,362695.102,1077120.188,1212746.664,4372963.638,1331683.208,865999.63,17164.591,19115.602,2437930.289,409460.857,2664231.95,398805.781,1607005.112,685540.936,759043.16,147700.93,902760.658,2018-07-01T00:00:00.000+02:00
3903582.791,918525.526,359222.278,1092087.65,1190692.626,4063882.069,1137645.576,855891.123,17711.764,21420.526,2391298.9,405987.994,2488817.007,517022.438,1617145.481,704132.576,782334.352,139379.094,903149.004,2018-08-01T00:00:00.000+02:00
3397077.507,884757.079,349584.439,966634.506,1130028.253,3880197.293,1351287.545,847528.729,18075.437,19431.863,2276573.924,423398.137,2272548.357,454134.431,1580536.919,577983.347,764565.744,138154.136,790124.881,2018-09-01T00:00:00.000+02:00
3130157.324,875089.572,356824.25,928844.406,1160824.097,3832404.07,1432024.819,873135.616,17854.131,17666.249,2233308.499,439097.811,2105103.012,408719.705,1637148.829,476157.141,778708.419,147459.698,729111.57,2018-10-01T00:00:00.000+02:00
3188665.788,909532.475,352809.12,974321.967,1216810.991,3865798.134,1444084.295,894410.495,17385.028,16615.788,2421740.233,434543.74,2190444.9,413793.156,1723854.068,396695.478,720885.317,145925.115,726074.295,2018-11-01T00:00:00.000+01:00
3391917.149,870762.752,343724.221,1030942.115,1213294.5,3871165.372,1313161.963,920538.945,17294.876,17408.361,2553858.231,407554.216,2193336.635,436251.144,1720942.191,422002.883,741928.712,140688.459,766338.571,2018-12-01T00:00:00.000+01:00
3668893.328,957420.099,376344.812,1112346.134,1304599.661,4346165.016,1566908.501,955695.747,17830.239,18530.186,2744878.748,463542.521,2510836.663,457953.307,1831829.718,477795.703,755349.344,157569.432,841665.36,2019-01-01T00:00:00.000+01:00
3152278.091,859577.223,335609.363,988724.576,1139791.713,3805809.279,1349915.466,800857.082,16019.527,15963.18,2356460.794,412888.134,2134019.425,394740.895,1563729.72,415344.403,678572.401,137243.524,722984.391,2019-02-01T00:00:00.000+01:00
3216356.36,931375.419,363081.312,1039939.791,1205850.157,3885658.35,1438251.76,819770.82,16598.235,16622.099,2350064.364,439192.257,2164887.68,388246.938,1570501.303,436816.193,738613.341,144513.078,769206.22,2019-03-01T00:00:00.000+01:00
3029639.973,861851.879,358214.104,931138.133,1138940.089,3641927.976,1324846.851,775652.082,15221.094,15384.125,2217591.032,409324.995,2082313.392,392573.28,1498887.102,446407.913,701144.535,133753.57,717397.568,2019-04-01T00:00:00.000+02:00
3154123.467,901078.329,358357.706,975360.89,1168948.401,3724228.479,1412540.967,775558.988,16753.54,16956.698,2149296.957,439674.461,2123696.885,371863.619,1455568.887,477010.374,724435.551,134904.534,753933.437,2019-05-01T00:00:00.000+02:00
3181997.313,887513.783,334031.262,1000327.159,1142368.133,3773188.661,1320335.319,734051.76,16642.239,17069.632,2281728.415,431270.896,2173952.957,390596.367,1403979.936,539722.271,714689.013,133645.37,781848.129,2019-06-01T00:00:00.000+02:00
3676269.543,947768.672,349591.357,1152988.982,1245721.68,4446351.053,1321611.713,771577.431,18185.252,19981.725,2651654.285,425913.131,2732096.081,431889.831,1459713.949,719464.877,765155.245,153082.682,934973.704,2019-07-01T00:00:00.000+02:00
3786647.665,918355.065,344327.486,1077388.382,1164281.486,3978863.274,1067567.8,751690.808,18656.52,21285.859,2274433.692,403832.721,2443273.028,482287.397,1458252.716,705099.073,788634.096,134540.513,891511.529,2019-08-01T00:00:00.000+02:00
3261926.084,880277.404,341052.811,931369.774,1097241.152,3832204.511,1313870.402,733274.883,17603.892,18638.026,2149610.628,424695.647,2226532.905,429437.981,1437838.622,572623.989,752661.657,136656.05,740195.578,2019-09-01T00:00:00.000+02:00
3143205.713,883069.114,347289.235,944877.518,1160622.707,3819970.185,1401028.409,741662.952,17669.152,17507.116,2267264.364,448901.458,2186210.866,394986.126,1518709.899,490426.996,773780.358,148673.966,748991.037,2019-10-01T00:00:00.000+02:00
3215694.404,905361.295,356017.986,970712.128,1207924.771,3912259.315,1440323.849,762830.407,17157.331,16251.095,2467031.06,441644.372,2209449.199,414780.995,1611162.935,412701.696,734424.275,145490.168,756543.658,2019-11-01T00:00:00.000+01:00
3383670.228,875169.733,324383.453,1010042.555,1205933.214,3858858.012,1327169.282,770472.528,17711.219,16714.884,2545189.886,408815.515,2222962.963,416962.301,1639128.236,421812.285,747518.318,141234.636,777171.494,2019-12-01T00:00:00.000+01:00
3648510.198,936969.954,341784.053,1061533.843,1289529.098,4180533.867,1464723.239,818569.533,17835.113,17812.714,2737334.364,450763.969,2508069.037,458471.77,1697792.905,456464.05,756953.464,155709.587,826921.959,2020-01-01T00:00:00.000+01:00
3085375.745,847063.224,330739.792,939083.828,1158160.686,3739391.844,1370961.607,753713.456,15770.011,15817.3,2357438.71,422377.178,2121198.841,389007.747,1475967.306,403435.857,705861.132,139196.214,710409.485,2020-02-01T00:00:00.000+01:00
3136155.192,845670.025,356180.394,988619.577,1127288.907,3655675.5,1354901.587,793322.507,16608.196,15735.69,2268882.296,407204.579,2101279.181,394485.672,1493138.351,403832.751,682194.297,137102.562,748455.972,2020-03-01T00:00:00.000+01:00
2680249.534,715893.499,287372.937,807391.746,903667.226,2974661.857,969319.589,658828.308,15531.111,14737.721,1825502.09,329918.004,1658367.752,337487.516,1268982.914,321712.013,548481.932,111843.378,630962.979,2020-04-01T00:00:00.000+02:00
2833738.348,780472.526,314378.961,917831.634,975778.847,3196176.385,1122317.097,673587.975,15827.471,15573.759,1855359.252,377656.588,1827469.331,347169.665,1327958.665,327175.074,581117.603,117782.567,700712.044,2020-05-01T00:00:00.000+02:00
2999931.629,800765.41,280657.543,964355.873,1031437.936,3394330.06,1157223.566,657386.079,15839.422,16708.38,2019611.065,387263.707,1973106.075,385510.529,1438593.814,360864.887,602698.837,121000.367,751296.944,2020-06-01T00:00:00.000+02:00
3944796.05,883086.548,319142.121,1173169.272,1226900.23,4124597.367,1211455.235,693685.822,17917.496,21140.943,2525218.389,396242.377,2517075.658,497827.803,1380397.914,528918.585,679184.288,144053.936,909611.101,2020-07-01T00:00:00.000+02:00
3852523.918,884240.341,340134.022,1114481.323,1126916.921,3825701.263,987600.964,670393.413,18096.779,22335.731,2202008.892,391904.088,2431482.847,489402.967,1390800.24,566318.86,712516.545,133978.303,904273.955,2020-08-01T00:00:00.000+02:00
3248747.485,844042.251,333667.089,930478.016,1084962.292,3636332.142,1253870.065,686850.454,16830.054,18793.899,2067050.074,419135.926,2160161.801,422010.656,1375753.284,403465.241,684875.592,137621.254,773862.263,2020-09-01T00:00:00.000+02:00
3070190.647,848048.821,351119.216,926029.016,1156341.074,3685266.366,1374290.634,760044.453,16095.768,16551.482,2184994.561,423452.642,2092023.643,396197.376,1471636.389,368113.495,674860.239,141061.124,737168.266,2020-10-01T00:00:00.000+02:00
3040312.816,854810.773,344154.085,918647.462,1143244.181,3661150.298,1348346.356,746484.147,15792.687,15635.69,2296506.89,427189.248,2119833.626,405048.58,1491474.968,364441.335,652336.766,139104.195,714052.423,2020-11-01T00:00:00.000+01:00
3482080.542,873158.298,306515.675,1018731.82,1205269.286,3983099.447,1322546.667,812041.784,17053.994,17166.954,2569037.905,409950.116,2351728.827,428972.183,1600592.994,436982.595,665587.715,141654.074,796790.727,2020-12-01T00:00:00.000+01:00
3806960.159,899098.143,301323.586,1064675.945,1267533.707,4205890.778,1452389.83,867913.759,18538.656,18321.295,2740894.826,443553.286,2541784.95,487003.673,1694495.593,470923.625,648143.584,146298.76,833740.735,2021-01-01T00:00:00.000+01:00
3016830.479,806734.845,312051.981,916023.561,1100679.804,3567341.458,1331125.747,754268.325,15215.238,15061.0,2262499.896,410832.434,2020604.117,395298.669,1484968.544,361715.977,576433.134,129503.338,704966.713,2021-02-01T00:00:00.000+01:00
3214203.583,901481.249,354118.186,1012109.007,1190666.42,3853996.069,1445981.843,808309.756,15340.218,16300.381,2378553.143,437964.061,2252014.427,425492.436,1564011.296,410107.525,640601.157,144652.408,757147.666,2021-03-01T00:00:00.000+01:00
2944784.896,835504.911,334415.536,945621.257,1076771.526,3484744.509,1298198.318,768077.88,15128.393,15293.779,2130429.496,406589.998,2051278.824,376617.189,1426069.727,378811.138,615594.768,129506.033,706783.625,2021-04-01T00:00:00.000+02:00
3088142.326,854555.031,354486.889,983773.982,1107577.857,3492614.749,1350193.26,776093.729,15515.205,16356.496,2107378.281,426771.793,2055062.999,383981.298,1454054.616,380442.847,638221.977,130651.022,730774.566,2021-05-01T00:00:00.000+02:00
3166035.944,881086.419,350482.439,978293.68,1082119.836,3674121.832,1325699.371,729077.631,15653.908,16601.305,2166515.997,422513.312,2166490.181,405586.42,1365134.11,459727.74,637990.222,128050.949,757175.204,2021-06-01T00:00:00.000+02:00
3688723.186,914403.06,345632.751,1138124.645,1195913.925,4078621.766,1313327.347,754393.956,17409.528,19875.328,2347371.347,405159.449,2560090.745,423714.488,1369843.94,601270.435,702057.86,140864.511,905457.514,2021-07-01T00:00:00.000+02:00
3781782.817,890945.768,345589.824,1111553.19,1139478.345,3663381.789,1032737.987,720273.259,17829.99,20335.852,2259789.28,391177.128,2405188.279,509621.441,1377124.299,632604.942,728446.23,130850.035,901082.855,2021-08-01T00:00:00.000+02:00
3261936.787,857223.626,338863.197,942787.008,1061815.292,3695619.204,1303370.899,725963.978,16921.593,18196.105,2072075.097,423399.212,2264075.528,414550.084,1381155.204,544052.918,724325.74,133323.629,793300.95,2021-09-01T00:00:00.000+02:00
3062789.782,842280.712,328646.412,889166.115,1074792.045,3493176.901,1328564.107,750755.832,16448.789,16468.922,2075335.099,414220.512,2082354.219,382150.628,1418232.566,444700.654,734306.806,135918.94,707168.96,2021-10-01T00:00:00.000+02:00
3180304.564,884111.867,336095.262,988074.665,1177689.63,3714667.184,1414374.753,783627.844,16035.752,15759.968,2386503.737,437375.677,2207275.169,421384.241,1493168.54,408606.143,703556.805,140846.25,723781.406,2021-11-01T00:00:00.000+01:00
3441074.577,895918.585,314925.718,1048655.126,1192460.79,3796545.717,1278916.676,805235.909,16848.583,16807.759,2507655.755,421278.98,2263430.835,429876.923,1521980.401,435319.025,719893.229,141258.077,781601.118,2021-12-01T00:00:00.000+01:00
3532788.346,905738.601,310887.008,1062483.113,1220529.292,3978813.799,1403157.038,838347.38,17253.197,17045.196,2601492.321,448017.748,2417389.067,452699.784,1386507.81,464916.63,713309.862,145992.771,811561.251,2022-01-01T00:00:00.000+01:00
3023662.438,828555.977,303920.233,937262.665,1118058.747,3589689.605,1301295.245,726763.587,15289.879,14895.378,2254452.384,418306.711,2144520.206,393995.532,1194675.819,397169.935,649849.447,132957.081,722656.087,2022-02-01T00:00:00.000+01:00
