datetime,value_Hidráulica,percentage_Hidráulica,value_Eólica,percentage_Eólica,value_Solar fotovoltaica,percentage_Solar fotovoltaica,value_Solar térmica,percentage_Solar térmica,value_Otras renovables,percentage_Otras renovables,value_Residuos renovables,percentage_Residuos renovables,value_Generación renovable,percentage_Generación renovable,value_Hidroeólica,percentage_Hidroeólica
2018-08-29T00:00:00.000+02:00,70199.366,0.3303118280040427,81574.375,0.3838351036466238,27780.552,0.1307169200656508,19579.129,0.09212644300401467,10576.908,0.0497679397291221,2672.831,0.012576576454492103,212524.52999999997,1,141.369,0.0006651890960539945
2018-08-30T00:00:00.000+02:00,79198.111,0.3366981547319161,95746.525,0.4070511011240315,26820.603,0.11402352183497523,19973.373,0.08491361407435936,10647.701,0.0452670049016343,2693.298,0.01145012747517627,235219.91400000002,1,140.303,0.0005964758579071668
2018-08-31T00:00:00.000+02:00,63990.958,0.254798055475973,125789.577,0.5008666946155921,26958.01,0.1073409235020647,20745.873,0.08260554717045321,10828.457,0.043116556989273205,2691.66,0.01071760379024889,251143.824,1,139.289,0.0005546184563949301
2018-09-01T00:00:00.000+02:00,51632.314,0.22392776239792073,118502.6,0.5139421420534405,27602.863,0.11971277032763548,19305.064,0.08372547053515078,10653.71,0.046204813550218805,2771.188,0.0120185573713386,230575.76,1,108.021,0.0004684837642950846
2018-09-02T00:00:00.000+02:00,64154.554,0.328714273459651,79531.001,0.4074999135873313,25907.203,0.13274299142531162,12111.655,0.06205754113291708,10701.367,0.05483152573128457,2679.867,0.013731067850202726,195168.142,1,82.495,0.00042268681330173246
2018-09-03T00:00:00.000+02:00,74821.525,0.32406148312866656,113011.35,0.4894664428635053,20593.973,0.08919510039245679,8952.625,0.03877495059603207,10842.279,0.04695928094535357,2538.621,0.010995088463668425,230886.81900000002,1,126.446,0.0005476536103171831
2018-09-04T00:00:00.000+02:00,69297.954,0.3049722842202923,102863.679,0.45269115951003286,25978.33,0.11432762705127698,15557.8,0.06846807920826153,11014.984,0.04847567117392777,2375.14,0.010452716557013865,227227.055,1,139.168,0.0006124622791947024
2018-09-05T00:00:00.000+02:00,68608.829,0.3440227400455376,85587.343,0.429157481350939,22341.017,0.11202374382084174,9529.258,0.047782209601053824,10843.454,0.0543719345018663,2384.722,0.011957624239394534,199431.087,1,136.464,0.0006842664403669423
2018-09-06T00:00:00.000+02:00,57923.803,0.25843281815629054,108365.371,0.4834828993890812,25546.584,0.11397862977654283,18289.577,0.08160077001498803,11286.538,0.050356013788805665,2619.284,0.011686196530840375,224134.858,1,103.701,0.00046267234345136974
2018-09-07T00:00:00.000+02:00,56126.553,0.2525415164965499,111142.677,0.5000866559018191,25268.702,0.11369656574098543,15619.553,0.07028020412403083,11344.163,0.051043079866387855,2655.876,0.011950118380987888,222246.83599999995,1,89.312,0.00040185948923925297
2018-09-08T00:00:00.000+02:00,60470.989,0.3640441020146023,71863.871,0.4326308998433649,15940.428,0.09596368263446829,4259.207,0.025641042312195494,10737.127,0.06463905786180776,2752.604,0.01657107429451505,166108.965,1,84.739,0.0005101410390462671
2018-09-09T00:00:00.000+02:00,50718.742,0.3902383367432587,38613.584,0.2970992615679645,19200.414,0.14773114096840137,8378.709,0.06446716411490988,10342.914,0.07958008020858572,2633.129,0.02025972728957749,129968.63000000002,1,81.138,0.0006242891073022774
2018-09-10T00:00:00.000+02:00,66236.698,0.34217292436437,70262.277,0.3629687094847242,25119.327,0.12976422190693862,18857.009,0.09741364091391216,10376.681,0.05360501640595362,2627.756,0.01357475511590296,193576.67799999999,1,96.93,0.0005007318081985063
