datetime,value_Hidráulica,percentage_Hidráulica,value_Eólica,percentage_Eólica,value_Solar fotovoltaica,percentage_Solar fotovoltaica,value_Solar térmica,percentage_Solar térmica,value_Otras renovables,percentage_Otras renovables,value_Residuos renovables,percentage_Residuos renovables,value_Generación renovable,percentage_Generación renovable,value_Turbinación bombeo,percentage_Turbinación bombeo,value_Nuclear,percentage_Nuclear,value_Ciclo combinado,percentage_Ciclo combinado,value_Carbón,percentage_Carbón,value_Motores diésel,percentage_Motores diésel,value_Turbina de gas,percentage_Turbina de gas,value_Turbina de vapor,percentage_Turbina de vapor,value_Fuel + Gas,percentage_Fuel + Gas,value_Cogeneración,percentage_Cogeneración,value_Residuos no renovables,percentage_Residuos no renovables,value_Generación no renovable,percentage_Generación no renovable,value_Consumos en bombeo,percentage_Consumos en bombeo,value_Saldo I. internacionales,percentage_Saldo I. internacionales,value_Demanda en b.c.,percentage_Demanda en b.c.,value_Hidroeólica,percentage_Hidroeólica
2013-05-04T00:00:00.000+02:00,143718.416,0.5572715661694013,47366.053,0.1836629937430765,32598.386,0.12640101475105797,21297.343,0.08258095252634107,12162.651,0.047160967676834364,753.704,0.00292250513328885,257896.55299999999,1,3319.727,0.009215530751000517,146022.486,0.4053570399224221,61584.88,0.1709590443541522,51451.915,0.14283002936095793,8771.45,0.024349462231642388,1043.994,0.0028981174689545353,6238.759,0.017318735972139045,-5.036,1.397988836492838e-05,77719.355,0.21574819433960254,4074.173,0.011309865710763574,360221.70300000004,1,-12836.553,0.019994428747900084,11051.68,0.01721428083571909,616333.383,1,,
2013-05-05T00:00:00.000+02:00,118929.235,0.5184148566753511,41917.996,0.1827213627369077,33470.197,0.14589724200824775,22653.333,0.09874632070419019,11679.933,0.05091305592079781,758.694,0.0033071619545055413,229409.38799999998,1,5049.858,0.014736817880601624,146317.042,0.42699172942731034,58886.588,0.17184659904615554,38632.564,0.11274001366547069,8305.546,0.024237774369291035,1180.799,0.003445882996432081,4881.475,0.014245431864363277,-5.093,1.4862717618179376e-05,75376.918,0.2199697324097118,4033.616,0.0117711556230454,342659.313,1,-22085.312,0.036243753593830856,15200.974,0.024946007375500484,565184.363,1,,
2013-05-06T00:00:00.000+02:00,131688.435,0.49644029904978076,74795.969,0.28196654640233315,29218.421,0.11014787789833173,17171.147,0.06473195122797037,11618.853,0.04380086116093218,772.576,0.00291246426065192,265265.40099999995,1,6585.621,0.016110448613209784,146113.937,0.35743949943555386,68722.537,0.16811640100575298,72246.038,0.17673596502243316,9022.259,0.022071212417867577,1846.55,0.004517227591251079,6303.142,0.015419418349881406,-5.138,1.2569123697624242e-05,93984.551,0.22991503448514486,3949.719,0.009662223955207615,408769.2160000001,1,-5935.781,0.008596234434953857,10539.039,0.015262700891950304,678637.875,1,,
2013-05-07T00:00:00.000+02:00,123633.294,0.3739677605547774,160097.926,0.4842665023200342,25543.389,0.07726400933157644,8805.806,0.026635928261361557,11747.793,0.035534892726154246,770.595,0.002330906806096331,330598.80299999996,1,11682.222,0.029772131387897863,145915.827,0.3718663429797665,57623.978,0.14685465180419752,63130.789,0.16088875427377233,9070.184,0.023115355089161033,2822.77,0.007193826595472715,6155.162,0.015686424361546648,-3.805,9.697038793728741e-06,92500.672,0.23573787249145284,3482.42,0.008874943977938725,392380.21900000004,1,-20039.258,0.02692433326278736,-1262.286,0.001695981404947768,701677.478,1,,
2013-05-08T00:00:00.000+02:00,143091.073,0.5690586168373848,70776.468,0.2814708013596028,20428.893,0.08124362582771975,4193.893,0.016678685117861896,12059.03,0.047957533536704476,902.899,0.0035907373207262052,251452.25600000002,1,16277.983,0.03469097265060001,145890.388,0.3109156374038125,84593.445,0.18028209557136388,108450.889,0.23112610599435185,8903.892,0.01897561103583265,3052.256,0.006504843346907893,5945.764,0.012671369438764136,-5.377,1.1459242827706373e-05,92338.435,0.1967879019890982,3769.781,0.008034003326441093,469217.45600000006,1,-8793.039,0.011884351315550294,-10421.048,0.014084708996310919,701455.625,1,,
2013-05-09T00:00:00.000+02:00,136954.067,0.5016840460012769,79970.004,0.29294256128559,25934.744,0.09500300054563067,17330.745,0.06348521414713737,11871.163,0.04348591622752361,927.96,0.003399261792841427,272988.683,1,6038.233,0.013287797425816355,145874.399,0.32101269751013384,62814.841,0.1382309828956358,124706.895,0.2744312712614022,9028.188,0.019867523042947515,2639.499,0.005808508551697962,5972.182,0.013142444918257836,-5.379,1.1837082529519177e-05,93170.033,0.2050309295220348,4169.756,0.00917600778954411,454408.647,1,-5223.295,0.006941971330549327,-19801.815,0.026317416883948085,702372.219,1,,
2013-05-10T00:00:00.000+02:00,132038.704,0.4617797622067585,92351.341,0.32298090631407034,29743.501,0.10402212686801654,18936.593,0.0662270618207989,11923.588,0.04170043679988982,940.64,0.0032897059904659874,285934.36699999997,1,5067.174,0.011636139967609515,145744.585,0.33468445934186636,60377.603,0.13864971666983614,107815.435,0.24758484558231192,8996.716,0.020659848393765837,2266.326,0.0052043380685629905,5600.034,0.012859787220129442,-5.112,1.1739077346548558e-05,95407.404,0.21909133313564286,4188.247,0.009617792542928397,435458.41199999995,1,-7799.376,0.010501594659412777,-13492.766,0.018167550758715352,700100.637,1,,
2013-05-11T00:00:00.000+02:00,114739.191,0.41545527475298544,93839.694,0.33978098950955715,32375.855,0.11722864364964727,21705.957,0.07859436911326563,12537.109,0.0453951959989253,979.193,0.0035455269756189934,276176.99900000007,1,4992.547,0.014383168549100087,145709.072,0.4197773484574026,45442.225,0.1309157793449175,54592.031,0.15727571183820543,8558.468,0.02465633027912998,1483.92,0.004275066709112724,6004.536,0.017298636016273707,-5.067,1.4597662283057156e-05,76209.599,0.21955436923805216,4112.908,0.011848991905522802,347100.239,1,-11382.335,0.017693846209021355,8633.856,0.013421334045680109,620528.759,1,,
2013-05-12T00:00:00.000+02:00,105708.667,0.33566003828643004,141620.261,0.4496912465029401,30713.017,0.09752400398835581,23348.64,0.07413966724541207,12365.916,0.039265880043750596,1171.268,0.0037191639331112776,314927.76900000003,1,5085.053,0.016545916143750124,142050.852,0.4622098305249247,39958.084,0.1300169550108767,26030.515,0.08469896348546019,8219.093,0.026743560697535237,1920.726,0.006249722732707133,5894.23,0.01917884342837258,-4.957,1.6129252993935237e-05,73735.024,0.2399214961892045,4431.26,0.014418582534174999,307319.88,1,-41898.05,0.06213551919713044,-10155.417,0.01506065575744849,570194.183,1,,
2013-05-13T00:00:00.000+02:00,128056.768,0.4394548711284424,99713.702,0.3421894269746829,31648.2,0.10860773600382584,18672.018,0.06407712292018769,12496.558,0.04288467818771677,811.886,0.0027861647851442463,291399.13200000004,1,8197.032,0.020617835930507325,145452.196,0.3658530932732718,55612.001,0.13987978970744647,72018.732,0.1811473226283828,8884.216,0.022346296544796713,1923.182,0.004837342460112994,7141.022,0.017961674417294366,-5.12,1.2878236898940678e-05,94242.101,0.23704533252576057,4094.348,0.010298434275528118,397559.70999999996,1,-10717.923,0.015296669060731032,-993.619,0.001418097612331653,677247.301,1,,
