datetime,value_Carbón,percentage_Carbón,value_Motores diésel,percentage_Motores diésel,value_Turbina de gas,percentage_Turbina de gas,value_Turbina de vapor,percentage_Turbina de vapor,value_Ciclo combinado,percentage_Ciclo combinado,value_Cogeneración,percentage_Cogeneración,value_Residuos no renovables,percentage_Residuos no renovables,value_Total tCO2 eq.,percentage_Total tCO2 eq.,value_tCO2 eq./MWh,percentage_tCO2 eq./MWh,value_Fuel + Gas,percentage_Fuel + Gas
2015-11-04T00:00:00.000+01:00,164353.38999999998,0.6748275192246224,6741.81,0.02768156420371829,1679.784,0.006897116448606342,4471.098,0.018358124353566242,36689.257,0.1506444149615935,27822.211,0.11423672872506006,1791.187,0.007354532082833178,243548.737,1,0.35556873886272417,1,,
2015-11-05T00:00:00.000+01:00,156872.98200000002,0.6724821917137366,6800.647,0.029152974217264812,1450.797,0.006219268186613,4501.427,0.01929669122245276,34218.74,0.14668869667360887,27606.364,0.11834280148997993,1823.595,0.007817376496344102,233274.552,1,0.33759370728925786,1,,
2015-11-06T00:00:00.000+01:00,160786.99599999998,0.6790145998594697,6651.35,0.028089110880430184,1405.227,0.005934370769118189,4539.329,0.019169900186240724,33566.765,0.14175476917954144,27979.343,0.11815869979606967,1865.598,0.007878549329129994,236794.608,1,0.34957161097726563,1,,
2015-11-07T00:00:00.000+01:00,135796.58,0.6741646653616007,6728.384,0.03340318841449725,1394.131,0.006921189466518479,3632.925,0.018035724220070885,26053.023,0.12934072074902836,25950.196,0.12883023418121392,1874.155,0.009304277607070597,201429.39399999994,1,0.33267610652781754,1,,
2015-11-08T00:00:00.000+01:00,75833.677,0.5423285580912316,6340.659,0.045345558712894675,1229.721,0.008794414871700174,3033.314,0.021692905750276967,28475.386,0.20364323136370194,23188.139,0.16583120436965035,1728.873,0.012364126840544234,139829.769,1,0.2447612803125763,1,,
2015-11-09T00:00:00.000+01:00,173070.869,0.6767759165679751,6761.444,0.026439934616743828,1634.689,0.006392283997132913,5215.759,0.020395691650584278,39814.623,0.15569100755848972,27473.492,0.10743227810119178,1757.593,0.006872887507882433,255728.46899999998,1,0.388533324925215,1,,
2015-11-10T00:00:00.000+01:00,186638.257,0.6822809781478211,6854.209,0.025056472858882295,1816.321,0.006639803052331487,5039.608,0.01842295749537344,43651.652,0.1595744211452226,27813.277,0.10167513425211795,1737.109,0.006350233048251106,273550.433,1,0.40135462804692956,1,,
2015-11-11T00:00:00.000+01:00,184236.151,0.6748929955937146,6855.212,0.025111980124410977,1835.06,0.0067221830990933035,5193.85,0.019026086716088714,44994.352,0.164823097102577,28155.83,0.10314030307834306,1715.266,0.006283354285772332,272985.721,1,0.404353930192878,1,,
2015-11-12T00:00:00.000+01:00,183730.032,0.6689411219120424,6922.756,0.02520500385785228,2588.782,0.00942547452158339,5548.462,0.020201348439139958,45807.765,0.16678110474276295,28321.951,0.10311715221754215,1738.254,0.006328794309076783,274658.00200000004,1,0.4009771030203821,1,,
2015-11-13T00:00:00.000+01:00,186207.95,0.7091425799808128,6863.382,0.026138069931352932,2094.669,0.007977204941388533,5812.546,0.022136132569512492,31588.738,0.12030055195633667,28270.989,0.10766544649715105,1743.547,0.006640014123445353,262581.82100000005,1,0.3921701032313803,1,,
2015-11-14T00:00:00.000+01:00,159685.332,0.6981606010531844,6956.122,0.030412876722573864,1929.697,0.008436832616351555,5087.427,0.022242751088335393,27784.946,0.12147862522269906,25492.748,0.11145690116470663,1786.649,0.007811412132149187,228722.92099999997,1,0.38000232879705254,1,,
2015-11-15T00:00:00.000+01:00,146815.177,0.6825426330263596,6817.268,0.031693426700472156,1211.404,0.005631807914645392,4649.705,0.02161644292058327,28978.178,0.134719327501315,24841.15400000001,0.11548633462174891,1787.49,0.008310027314875543,215100.37600000002,1,0.37481180942787334,1,,
2015-11-16T00:00:00.000+01:00,172430.61899999998,0.6730782865150441,6976.69,0.02723332188900072,2774.211,0.010829058070661958,5304.167,0.020704673314138267,39250.385,0.1532128228389402,27700.48600000001,0.10812810254142843,1745.557,0.006813734830786295,256182.115,1,0.3743702713072481,1,,
2015-11-17T00:00:00.000+01:00,176866.003,0.6770699803795333,6731.393,0.02576879699394195,2574.669,0.00985622482413306,5139.751,0.01967574915302228,39749.902,0.15216867521582636,28463.251,0.10896165723894224,1697.664,0.006498916194600949,261222.63299999997,1,0.36690011618208657,1,,
2015-11-18T00:00:00.000+01:00,180075.505,0.6753922449247647,6946.327,0.026052934775951376,2655.512,0.00995977887778047,5176.784,0.019416076424445414,41646.371,0.15619912326587457,28362.563,0.10637679509153711,1760.528,0.006603046639646553,266623.58999999997,1,0.37960528947946953,1,,
2015-11-19T00:00:00.000+01:00,179284.59900000002,0.6751887387131688,7105.636,0.026759941653409315,1970.038,0.0074191954013686,5102.144,0.01921475793965416,41932.904,0.15792000383892646,28346.897,0.10675487877161222,1790.349,0.006742483681860386,265532.56700000004,1,0.3757509578029698,1,,
2015-11-20T00:00:00.000+01:00,137525.39500000002,0.6647609049803958,6936.307,0.033528249226565415,1910.235,0.009233564079748515,5001.592,0.02417635538703748,25612.028,0.12380167976731303,28129.6,0.1359709481491512,1764.33,0.00852829840978869,206879.487,1,0.29273403955595495,1,,
2015-11-21T00:00:00.000+01:00,32506.54800000001,0.373915296120428,6744.063,0.07757539538494894,1140.241,0.013115928248168733,4227.998,0.04863368217894366,17973.28,0.2067424788831888,22657.529,0.26062431068940883,1685.934,0.019392908494913007,86935.59300000001,1,0.1241280343491419,1,,
2015-11-22T00:00:00.000+01:00,44439.22100000001,0.41950393507536066,6255.359,0.05905026363556355,1022.513,0.009652469541842602,3827.719,0.03613346829060581,25018.656,0.23617481148683453,23604.48,0.2228250635943336,1764.839,0.01665998837545924,105932.78700000001,1,0.17629679565729559,1,,
2015-11-23T00:00:00.000+01:00,138135.158,0.5997800995522239,6725.571,0.029202295073391452,1280.96,0.005561902758473818,4152.427,0.018029755172418466,50280.034,0.21831490429112332,27958.547,0.12139545316186288,1776.975,0.007715589990506348,230309.67199999996,1,0.3001841275310888,1,,
2015-11-24T00:00:00.000+01:00,175758.774,0.6564755153953287,6749.609,0.025210423048307954,1414.482,0.005283223015469004,3947.883,0.014745713503585636,49605.21,0.18528011467036923,28448.676,0.10625847469449642,1806.256,0.006746535672443327,267730.88999999996,1,0.3316487672579002,1,,
